Date,Number of Orders,Status of Order, Total CBV ,Service,,,,Data Dictionary
2016-01-10,1690,Cancelled,"  23,623,600 ",GO-MART,,,,
2016-01-10,90,Cancelled,"  16,565,640 ",GO-MASSAGE,,,,
2016-01-10,35840,Cancelled,"  877,569,420 ",GO-RIDE,,,,
2016-01-10,2730,Cancelled,"  105,245,140 ",GO-SEND,,,,
2016-01-10,14460,Cancelled,"  359,102,380 ",GO-SHOP,,,,
2016-01-10,370,Cancelled,  -   ,GO-TIX,,,,
2016-01-10,670,Completed,"  261,310,140 ",GO-BOX,,,,
2016-01-10,170,Completed,"  27,563,900 ",GO-CLEAN,,,,
2016-01-10,80880,Completed,"  1,358,165,900 ",GO-FOOD,,,,
2016-01-10,60,Completed,"  10,000,900 ",GO-GLAM,,,,
2016-01-10,10,Completed,"  136,500 ",GO-KILAT,,,,
2016-01-10,2620,Completed,"  36,636,600 ",GO-MART,,,,
2016-01-10,610,Completed,"  112,738,080 ",GO-MASSAGE,,,,
2016-01-10,189170,Completed,"  4,056,925,600 ",GO-RIDE,,,,
2016-01-10,16630,Completed,"  612,604,720 ",GO-SEND,,,,
2016-01-10,16500,Completed,"  390,817,700 ",GO-SHOP,,,,
2016-01-10,10,Completed,  -   ,GO-TIX,,,,
2016-01-10,30,Failed/Timeout,  -   ,GO-TIX,,,,
2016-01-10,50,No Driver Found,"  46,344,935 ",GO-BOX,,,,
2016-01-10,20,No Driver Found,"  3,430,700 ",GO-CLEAN,,,,
2016-01-10,760,No Driver Found,"  15,861,300 ",GO-FOOD,,,,
2016-01-10,20,No Driver Found,"  4,495,400 ",GO-GLAM,,,,
2016-01-10,50,No Driver Found,"  9,635,080 ",GO-MASSAGE,,,,
2016-01-10,910,No Driver Found,"  25,303,460 ",GO-RIDE,,,,
2016-01-10,40,No Driver Found,"  1,476,020 ",GO-SEND,,,,
2016-01-10,30,No Driver Found,"  973,700 ",GO-SHOP,,,,
2016-01-11,280,Cancelled,"  143,598,000 ",GO-BOX,,,,
2016-01-11,10,Cancelled,"  2,329,600 ",GO-CLEAN,,,,
2016-01-11,35850,Cancelled,"  631,885,800 ",GO-FOOD,,,,
2016-01-11,10,Cancelled,"  1,137,500 ",GO-GLAM,,,,
2016-01-11,10,Cancelled,"  109,200 ",GO-KILAT,,,,
2016-01-11,1590,Cancelled,"  22,313,200 ",GO-MART,,,,
2016-01-11,50,Cancelled,"  9,997,260 ",GO-MASSAGE,,,,
2016-01-11,68950,Cancelled,"  1,571,731,980 ",GO-RIDE,,,,
2016-01-11,5870,Cancelled,"  229,387,340 ",GO-SEND,,,,
2016-01-11,13210,Cancelled,"  351,629,460 ",GO-SHOP,,,,
2016-01-11,290,Cancelled,  -   ,GO-TIX,,,,
2016-01-11,540,Completed,"  215,364,240 ",GO-BOX,,,,
2016-01-11,120,Completed,"  19,912,620 ",GO-CLEAN,,,,
2016-01-11,64580,Completed,"  1,089,069,800 ",GO-FOOD,,,,
2016-01-11,40,Completed,"  5,651,100 ",GO-GLAM,,,,
2016-01-11,50,Completed,"  1,037,400 ",GO-KILAT,,,,
2016-01-11,2320,Completed,"  32,505,200 ",GO-MART,,,,
2016-01-11,370,Completed,"  72,525,180 ",GO-MASSAGE,,,,
